Id,BankName,SwiftCode
1,Bank Central Asia (BCA),CENAIDJA
2,Bank Mandiri,BMRIIDJA
3,Bank Rakyat Indonesia (BRI),BRINIDJA
4,Bank Mega,MEGAIDJA
5,Bank Danamon,BDINIDJA
6,Bank Negara Indonesia (BNI),BNINIDJA
7,Bank Permata,BBBAIDJA
8,Bank Niaga (CIMB),BNIAIDJA
9,Bank NISP,NISPIDJA
10,Bank Artha Graha,ARTGIDJA
11,Bank BNP Paribas Indonesia,BNPAIDJA
12,Bank Buana Indonesia,BBIJIDJA
13,Bank Bukopin,BBUKIDJA
14,Bank Bumi Arta Indonesia,BBAIIDJA
15,Bank Bumiputera Indonesia,BUMIIDJA
16,Bank Chinatrust Indonesia,CTCBIDJA
17,Bank CIC International,CICTIDJA
18,Bank Commonwealth,BICNIDJA
19,Bank DBS Indonesia,DBSBIDJA
20,Bank Ekonomi Raharja,EKONIDJA
21,Bank Ekspor Indonesia,BEXIIDJA
22,Bank Finconesia,FINBIDJA
23,Bank Indonesia,INDOIDJA
24,Bank Internasional Indonesia (BII),IBBKIDJA
25,Bank Kesawan,AWANIDJA
26,Bank Maybank Indocorp,MBBEIDJA
27,Bank Mizuho Indonesia,MHCCIDJA
28,Bank OCBC Indonesia,OCBCIDJA
29,Bank of China Jakarta Branch,BKCHIDJA
30,Bank Rabobank International Indonesia,RABOIDJA
31,Bank Resona Perdania,BPIAIDJA
32,Bank Sumitomo Mitsui Indonesia,SUNIIDJA
33,Bank Swadesi,SWBAIDJA
34,Bank Syariah Mandiri,BSMDIDJA
35,Bank Tabungan Negara (BTN),BTANIDJA
36,Bank UFJ Indonesia,SAINIDJA
37,Bank UOB Indonesia,UOBBIDJA
38,Deutsche Bank AG,DEUTIDJA
39,Hagabank,HAGAIDJA
40,Hongkong and Shanghai Banking (HSBC),HSBCIDJA
41,Lippobank,LIPBIDJA
42,Pan Indonesia Bank,PINBIDJA
43,Woori Bank Indonesia,HVBKIDJA
44,ABN AMRO Bank,ABNAIDJA
45,Bangkok Bank,BKKBIDJA
